meme_id,filename,platform,perceptual_hash,vector_id
75,1009610735720581_0.jpg,sgag,dummy,-1
76,1009638572384464_0.jpg,sgag,dummy,-1
77,1009652519049736_0.jpg,sgag,dummy,-1
78,1009725089042479_0.jpg,sgag,dummy,-1
79,1009939829021005_0.jpg,sgag,dummy,-1
80,1009944132353908_0.jpg,sgag,dummy,-1
81,1010028895678765_0.jpg,sgag,dummy,-1
82,1010073245674330_0.jpg,sgag,dummy,-1
83,1010103242337997_0.jpg,sgag,dummy,-1
84,1010123049002683_0.jpg,sgag,dummy,-1
85,1010484778966510_0.jpg,sgag,dummy,-1
86,1010538202294501_0.jpg,sgag,dummy,-1
87,1010616202286701_0.jpg,sgag,dummy,-1
88,1010987138916274_0.jpg,sgag,dummy,-1
89,1011520532196268_0.jpg,sgag,dummy,-1
90,1011602205521434_0.jpg,sgag,dummy,-1
91,1011711052177216_0.jpg,sgag,dummy,-1
92,1011959138819074_0.jpg,sgag,dummy,-1
93,1012312335450421_0.jpg,sgag,dummy,-1
94,1012510125430642_0.jpg,sgag,dummy,-1
95,1012544365427218_0.jpg,sgag,dummy,-1
96,1012613328753655_0.jpg,sgag,dummy,-1
97,1012615595420095_0.jpg,sgag,dummy,-1
98,1012616192086702_0.jpg,sgag,dummy,-1
99,1013031135378541_0.jpg,sgag,dummy,-1
100,1013092845372370_0.jpg,sgag,dummy,-1
101,1013141458700842_0.jpg,sgag,dummy,-1
102,1013145398700448_0.jpg,sgag,dummy,-1
103,1013155028699485_0.jpg,sgag,dummy,-1
104,1013508388664149_0.jpg,sgag,dummy,-1
105,1013560631992258_0.jpg,sgag,dummy,-1
106,1013611605320494_0.jpg,sgag,dummy,-1
107,1013617345319920_0.jpg,sgag,dummy,-1
108,1013653948649593_0.jpg,sgag,dummy,-1
109,1013666481981673_0.jpg,sgag,dummy,-1
110,1013907808624207_0.jpg,sgag,dummy,-1
111,1014539778561010_0.jpg,sgag,dummy,-1
112,1015031698511818_0.jpg,sgag,dummy,-1
113,1015079608507027_0.jpg,sgag,dummy,-1
114,1015603245121330_0.jpg,sgag,dummy,-1
115,1015939971754324_0.jpg,sgag,dummy,-1
116,1016049275076727_0.jpg,sgag,dummy,-1
117,1016117941736527_0.jpg,sgag,dummy,-1
118,1016173095064345_0.jpg,sgag,dummy,-1
119,1016217681726553_0.jpg,sgag,dummy,-1
120,1016454565036198_0.jpg,sgag,dummy,-1
121,1016460368368951_0.jpg,sgag,dummy,-1
122,1016475738367414_0.jpg,sgag,dummy,-1
123,1017007108314277_0.jpg,sgag,dummy,-1
124,1017038044977850_0.jpg,sgag,dummy,-1
125,1017104428304545_0.jpg,sgag,dummy,-1
126,1017137844967870_0.jpg,sgag,dummy,-1
127,1017198011628520_0.jpg,sgag,dummy,-1
128,1017208964960758_0.jpg,sgag,dummy,-1
129,1017573984924256_0.jpg,sgag,dummy,-1
130,1017617751586546_0.jpg,sgag,dummy,-1
131,1017633574918297_0.jpg,sgag,dummy,-1
132,1017673474914307_0.jpg,sgag,dummy,-1
133,1017747061573615_0.jpg,sgag,dummy,-1
134,1017966898218298_0.jpg,sgag,dummy,-1
135,1018015758213412_0.jpg,sgag,dummy,-1
136,1018159751532346_0.jpg,sgag,dummy,-1
137,1018226978192290_0.jpg,sgag,dummy,-1
138,1018532038161784_0.jpg,sgag,dummy,-1
139,1018647118150276_0.jpg,sgag,dummy,-1
140,1019112241437097_0.jpg,sgag,dummy,-1
141,1019537318061256_0.jpg,sgag,dummy,-1
142,1019599491388372_0.jpg,sgag,dummy,-1
143,1019736881374633_0.jpg,sgag,dummy,-1
144,1019745771373744_0.jpg,sgag,dummy,-1
145,1020089871339334_0.jpg,sgag,dummy,-1
